,created_at,id,text,classification,score
0,2022-07-08T01:03:25.000Z,1545211920851972097,@OmarAlghabra @WestJet You are actually dumber than Justin https://t.co/thh2jZKEeX,Negative,0.8380667567253113
1,2022-07-08T01:02:22.000Z,1545211657621610497,@OmarAlghabra @WestJet Liberal idiot,Negative,0.8706724047660828
2,2022-07-08T01:01:13.000Z,1545211370131533824,@AHoensbroech @OmarAlghabra @WestJet Why did you try and hide the black guy in the background behind Omar?  I can see racism in this pic.,Negative,0.8742663264274597
3,2022-07-08T00:59:42.000Z,1545210988709851136,@AHoensbroech @OmarAlghabra @WestJet You mean “All hands to yourselves” you ass grabbing rascals.,Negative,0.8917564749717712
4,2022-07-08T00:59:33.000Z,1545210948348174336,@OmarAlghabra @WestJet Why the masks? The pandemic is over,Negative,0.9077417850494385
5,2022-07-08T00:59:10.000Z,1545210851866644487,@OmarAlghabra @WestJet Did you hope the digital ID arriveCAN app would work more smoothly?  Or are delays orchestrated pain points you will solve with the digital ID?,Neutral,0.599462628364563
6,2022-07-08T00:58:41.000Z,1545210731062181888,"@OmarAlghabra @WestJet Well Wesjet is, you - not so much.",Neutral,0.6132572293281555
7,2022-07-08T00:57:33.000Z,1545210445203660800,@OmarAlghabra @WestJet Imagine wearing a mask on an empty plane.,Negative,0.6159226894378662
8,2022-07-08T00:55:35.000Z,1545209948547825665,@OmarAlghabra @WestJet If you’ve “been there since the start” you’ve been failing for a while.   Stop the excuses and do something,Negative,0.9087905287742615
9,2022-07-08T00:54:30.000Z,1545209679269216256,@OmarAlghabra @WestJet So mask on the plane by yourself. But no mask in a small room meeting with people from weather?? 🙄,Negative,0.7198175191879272
10,2022-07-08T00:53:12.000Z,1545209350351753216,@OmarAlghabra @WestJet Stop the discrimination!!,Negative,0.7021732330322266
11,2022-07-08T00:52:37.000Z,1545209202817261570,To their credit @westjet and @TorontoPearson got back to me right away. Let’s see if they can work some magic and find our suitcases.,Positive,0.7538824081420898
12,2022-07-08T00:48:16.000Z,1545208107269234688,"@OmarAlghabra @WestJet And by the way, WestJet was just fine without the latest government involvement. Eg, top notch filtering system and fresh 35000 ft air did the job so well you couldn t smell your neighbour's fart molecules. So don't try to make anyone believe masks add anything. Liar",Negative,0.8734725713729858
13,2022-07-08T00:45:57.000Z,1545207525225574400,@OmarAlghabra @WestJet I can't listen to you speak at the best of times never mind when you are standing in a large airplane with a mask on. My gawd you people are cringeworthy.,Negative,0.9416853189468384
14,2022-07-08T00:44:58.000Z,1545207278017679360,@OmarAlghabra @WestJet embarassing.,Negative,0.9236997365951538
15,2022-07-08T00:44:40.000Z,1545207202339758080,"@OmarAlghabra @WestJet Come to think of it, how much Canadian taxpayer money did you give WestJet to buy them off? And why would WestJet take it?
Are we witnessing what we see with Canadian legacy media? Another corrupt itself.",Negative,0.9192383289337158
16,2022-07-08T00:42:42.000Z,1545206708238135296,"Just wrapped a very honest &amp; meaningful first of many meetings w/ @WestJet 

Good things ahead for #XMarker #transgender &amp; #ENBY Canadians https://t.co/EfgUMxIpqh",Positive,0.839995801448822
17,2022-07-08T00:42:37.000Z,1545206687325454336,@OmarAlghabra @WestJet Give it up. You’ve F’d this up. This is on YOU. YOU ALONE,Negative,0.9130585789680481
18,2022-07-08T00:41:30.000Z,1545206407456325634,"RT @CFCRSaskatoon: Congratulations to the winner of our Jet-Away Getaway Raffle, ARNOLD COAKWELL! 

Arnold takes home the grand prize of a…",Positive,0.9094924330711365
19,2022-07-08T00:41:11.000Z,1545206328695480320,"RT @SarahHorseP2022: @OmarAlghabra @WestJet Resign, WEF criminals.",Negative,0.8927049040794373
20,2022-07-08T00:41:03.000Z,1545206291496423424,@OmarAlghabra @WestJet Leave WestJet out of this you corrupt idiot.,Negative,0.9005478024482727
21,2022-07-08T00:40:26.000Z,1545206139322761218,"@OmarAlghabra @WestJet Get everyone on the digital ID where vaccines are social credit.   Now.  It's for our convenience, and safety (sarcasm).",Neutral,0.5438402891159058
22,2022-07-08T00:39:59.000Z,1545206022721380352,"@OmarAlghabra @WestJet By what? Promoting mask wearing that can lead to bronchitis &amp; pneumonia? That makes the wearer breathe in CO2 which can damage your brain?
Airplanes have the best air filtration systems in the world.
You aren't following science. Or even logic.",Negative,0.8769272565841675
23,2022-07-08T00:39:41.000Z,1545205950214201345,@AHoensbroech @OmarAlghabra @WestJet Did they make you fire people that didn't take the jab,Negative,0.7171351313591003
24,2022-07-08T00:30:33.000Z,1545203648917037056,RT @Cometsbright: @OmarAlghabra @WestJet Justin was  in the GTA area whining and dining with his elite friends and Liberal family.. He real…,Neutral,0.49324917793273926
25,2022-07-08T00:30:26.000Z,1545203623432491010,@somasoftware @FlyYYC @WestJet Right?,Neutral,0.8259392976760864
26,2022-07-08T00:27:31.000Z,1545202887529299968,@AHoensbroech @OmarAlghabra @WestJet https://t.co/iVVE3x9N6n,Neutral,0.7124971747398376
27,2022-07-08T00:27:08.000Z,1545202792394104838,@AvionViks @FlyYYC @WestJet Love this !,Positive,0.8191028237342834
