,created_at,id,text,classification,score
0,2022-07-08T00:45:29.000Z,1545207407365816320,@txsalth2o @AmericanAir @SouthwestAir I’d trust my kid to change planes. Probably one of the safest places to let them do something real on their own.,Positive,0.8134811520576477
1,2022-07-08T00:44:57.000Z,1545207274007801856,After flying to Kona from Oakland at the beginning of last month with two Bike Box cases that meet the weight and dimensions I got the oversized/weight fees charged refunded! But apparently as a one time exception. Southwest at Oakland is not bike friendly. @SouthwestAir,Negative,0.6970474123954773
2,2022-07-08T00:43:34.000Z,1545206927562625024,"FEC records tell us @SouthwestAir's political donations to insurrectionist candidates post 1/6 totaled $59,500. See who got $ #DonationsAgainstDemocracy https://t.co/ZEGbQ4cb2k",Neutral,0.768797755241394
3,2022-07-08T00:43:18.000Z,1545206861003096064,"@txsalth2o @AmericanAir @SouthwestAir If it makes you feel any better, it's been the same price for at least 5 years. 🤷🏼‍♀️
#Somethingthatdidntincreasewithinflation",Neutral,0.4111176133155823
4,2022-07-08T00:40:41.000Z,1545206199859044352,@SouthwestAir me just trying to be home already,Neutral,0.5258324146270752
5,2022-07-08T00:37:52.000Z,1545205490078081025,RT @SouthwestAir: Wanna mix things up on your next hike? Our variety of heart-pumping destinations are nothing less than epic. Give us a lo…,Positive,0.9169118404388428
6,2022-07-08T00:37:26.000Z,1545205384612380684,@SouthwestAir worst airlines ever!!!,Negative,0.9375065565109253
7,2022-07-08T00:36:46.000Z,1545205213778280451,"Sadly, frustratingly, @SouthwestAir checked my stroller to my final destination after I told them how much I needed it in Dallas. Playing zone defense for 3 1/2 hours with a one year old and a four year old. Wish me luck.",Negative,0.8721230626106262
8,2022-07-08T00:33:05.000Z,1545204288183537665,@FionaMaray @kittybatpurrs @SouthwestAir Oh damn! Thanks for the tip!,Positive,0.6899140477180481
9,2022-07-08T00:32:54.000Z,1545204242637398016,@SouthwestAir please,Neutral,0.7191780209541321
10,2022-07-08T00:32:48.000Z,1545204217249423363,"More to come, @SouthwestAir? #Southwest #SouthwestHeart #denver #chicago #lasvegas #sanjose https://t.co/we35AXOrmv",Neutral,0.7526076436042786
11,2022-07-08T00:30:05.000Z,1545203533422555137,"@SouthwestAir I hope y’all get sued into the ground for the ongoing practice of selling flights you don’t have crew for. 5th flight. In a row. 

After this I have one more booked flight to take, then y’all can kick rocks. People have important places to be, your co. doesn’t care.",Negative,0.9130938649177551
12,2022-07-08T00:29:33.000Z,1545203398483533825,@SouthwestAir  on a flight and it’s one hour late.  Come around and ask for drinks and then he wants to charge?  Was free when delayed in past. I give him and card and he can’t get it to work. Asked for another card and I didn’t have one. Card is fine and has unlimited credit!,Negative,0.865903377532959
13,2022-07-08T00:28:00.000Z,1545203007012339717,"@ltecato @SouthwestAir As I read it, she fell due to her own inability to safely operate her own power wheelchair. If she can’t even get to the door safely without assistance, how would she evacuate in an emergency? Prob shouldn’t be flying alone then. So where was her family? Not an airline issue.",Negative,0.9073101878166199
14,2022-07-08T00:26:25.000Z,1545202609019125761,@SouthwestAir Thank you!,Positive,0.8000527024269104
15,2022-07-08T00:25:05.000Z,1545202277056667648,@imogenbadger @kittybatpurrs @SouthwestAir is the furry friendliest airline. Two checked bags free has allowed me to take Fiona anywhere.,Positive,0.710159420967102
16,2022-07-08T00:23:34.000Z,1545201894464815107,"The absolute fuck, @SouthwestAir! Get your shit together. #Southwest #Chicago #Denver https://t.co/vVgwhJb90o",Negative,0.8469163179397583
17,2022-07-08T00:22:57.000Z,1545201737094598656,"RT @REMASCULATE: The Denver airport is a mess.  Delays, luggage delays.   Almost an hour wait after landing to pull up to a gate?   What’s…",Negative,0.9461960792541504
18,2022-07-08T00:21:46.000Z,1545201440007798784,@stayingblonde @SouthwestAir Does she walk to the school bus on her own?,Neutral,0.8218303322792053
19,2022-07-08T00:21:37.000Z,1545201402523185153,"RT @ATTSportsNetRM: First game from AZ!

📺 AT&amp;T SportsNet
🕖 7 PM MT
🏟️ Chase Field
⚾️ Austin Gomber (COL) vs Dallas Keuchel (ARI)

@Rockies…",Neutral,0.8715960383415222
20,2022-07-08T00:21:17.000Z,1545201320197607424,@GlitterDabs @SouthwestAir Wait what is an edible? Lol. I thought this was food,Neutral,0.7018543481826782
21,2022-07-08T00:21:16.000Z,1545201313671249921,@SouthwestAir it’s less than 36 hours before my flight and I have early bird but can’t see my boarding pass. Am I missing something?,Negative,0.7546849846839905
22,2022-07-08T00:21:09.000Z,1545201285535698944,"@SouthwestAir only letting active duty military members in uniform board early (and not even early… just after A) is not much of a salute. This is a bizarre policy, and would never apply to military aviators because if we are flying on orders then it’s in a much faster jet…",Negative,0.9072732925415039
23,2022-07-08T00:20:47.000Z,1545201195018592256,"On a @SouthwestAir flight from Raleigh to Atlanta, diverted mid ✈️ to Birmingham due to ⛈, diverted mid-diversion to Greenville, SC due to more ⛈ 

The upside? Never been to SC before. Even though we didn’t get off the plane in SC, I’m counting it as a visit 📌",Neutral,0.6909223198890686
24,2022-07-08T00:20:36.000Z,1545201144820994048,@SouthwestAir hello. can you assist? I am trying to reach SBA baggage to retrieve my bags that are there and it keeps going to voicemail! I need to coordinate delivery - thank you,Neutral,0.6362166404724121
25,2022-07-08T00:19:33.000Z,1545200881003552774,@GlitterDabs @SouthwestAir Facts,Neutral,0.8220701217651367
26,2022-07-08T00:18:36.000Z,1545200642221916166,@SouthwestAir Molly is always vining on Southwest without entertainment https://t.co/w5cZeAByE6,Negative,0.7107352018356323
27,2022-07-08T00:18:11.000Z,1545200536978432002,@Delta @united @JetBlue @SouthwestAir can you please have a section for masked people? This is ridiculous. Covid is spreading like wildfire again and you are  irresponsible not having a mask mandate. Your making people sick and killing some.,Negative,0.9590481519699097
28,2022-07-08T00:17:46.000Z,1545200432187858945,I was told if I didn’t move seats I would be put off the plane. I politely said “if the four people infront of me want an exit row they can have it but i did nothing wrong!” A flight attendant interjected and said well they don’t want an exit row. She @SouthwestAir,Negative,0.8109006881713867
29,2022-07-08T00:17:04.000Z,1545200258661191683,"then mouthed to me “you’re not wrong keep your seat” I said “I get out of my seat and allow the 3 people who scanned their ticket first to sit down then i can sit back down or I’ll even wait for them to sit and I’ll sit again” Now mind you, the lady who walked me  @SouthwestAir",Negative,0.4848359227180481
30,2022-07-08T00:17:01.000Z,1545200244069019648,I’ve called the Denver Airport and at least they looked in their lost and found. Have tried called @SouthwestAir baggage claim at Denver airport and left a voicemail multiple times and no one calls me back. So upsetting,Negative,0.9155629873275757
31,2022-07-08T00:16:22.000Z,1545200083150462978,down is standing there letting them ostracize me! I sat in an exit isle seat in the front row. And then got up to talk to the flight attendant so I could say my peace and felt the need to let them know I wasn’t a problem stater. I asks @SouthwestAir https://t.co/s5nUvoHwhe,Negative,0.7642008662223816
32,2022-07-08T00:16:02.000Z,1545199998966571010,"the flight attendant if I could speak to her and she said “I’m busy right now you can sit down” so i said “well can i talk to the pilot?” I took photos of all the flight attendants and captain. The flight attendant, weirdly named Karen @SouthwestAir",Neutral,0.5999979972839355
33,2022-07-08T00:15:41.000Z,1545199907765723136,"told the captain i took photos of her. I hear him say “it’s probably for social media, I’ll deal with it”. I get up and ask to speak to the captain. I walk out and the captain asked if i took pictures. I said yes. He then threatens me and says that his @SouthwestAir",Neutral,0.604407787322998
34,2022-07-08T00:15:12.000Z,1545199785820536832,crew can feel uncomfortable and take me off the plane if i don’t erase the pictures. He says they are new to southwest and can be on. Social media because it makes them uncomfortable. I said what about my comfort?! He said @SouthwestAir,Negative,0.6599380373954773
35,2022-07-08T00:14:47.000Z,1545199682414067713,he well i have to protect my employees. I asked him “what would you do if your wife told you this happened to her? (At this point I was soo upset that I was crying.). Your first question would be who did it and did you get a pic of @SouthwestAir,Negative,0.8642333745956421
36,2022-07-08T00:14:32.000Z,1545199618304069632,"Don’t leave anything on a @SouthwestAir flight! You’ll never see it again! My daughter left her iPad on a flight, tried to call right away Southwest was told to make an online report. Still nothing a week later. Called multiple times and sat on hold over an hour. Ridiculous.",Negative,0.9383835196495056
37,2022-07-08T00:14:23.000Z,1545199584368103424,them”?  He said no. “I would say they are doing their job”.  He then said he would put me off the plane. He then told me to delete the picture and don’t post it on social media. And asked to see me delete it. I showed him me deleting it. (I knew it was in my deleted @SouthwestAir,Negative,0.6577286124229431
