,Unnamed: 0,created_at,id,text,classification,score
0,0,2022-07-08T00:27:40.000Z,1545202926053990400,So confused why @AmericanAir would put us on an aircraft where the engine was overheating to begin with?,Negative,0.8952153325080872
1,1,2022-07-08T00:26:50.000Z,1545202715021778945,@AmericanAir Just sent it in DM. Thank you,Neutral,0.6394842267036438
2,2,2022-07-08T00:24:11.000Z,1545202049465327616,"Hey @AmericanAir, with all the complaints, here is a positive. ORF Gate Agent Stephanie is awesome! She helped me reschedule a delayed flight, arranged for my bag to be moved mins before take off and tracked me down to give me my claim ticket. Hire more like her!!!",Positive,0.8465232849121094
3,3,2022-07-08T00:24:05.000Z,1545202024328855553,@AmericanAir Please help me! I’ve spent all most 2 hours on phone and was told they could not assist me. I need to talk to a customer service rep pronto about a cancelled flight.,Negative,0.8324701189994812
4,4,2022-07-08T00:23:29.000Z,1545201871257755648,"RT @bredmor: Hey @AmericanAir why did you cancel my flight with no notification to me? No email, no text, no call. You just cancelled my fl…",Negative,0.8891405463218689
5,5,2022-07-08T00:22:58.000Z,1545201740974366720,RT @DCoolDog: Just spent 40 minutes on the phone getting an $11.20 refund from @AmericanAir that should’ve been processed automatically. Th…,Neutral,0.6128537654876709
6,6,2022-07-08T00:22:19.000Z,1545201576863752192,"@AmericanAir She's been rebooked for a flight tomorrow. I'm just really aggravated by your employees incompetence. Cannot imagine a situation where I would ever use your airline again, or recommend it to anyone. And I would talk anyone I could OUT of flying on AA if I had the opportunity.",Negative,0.9438653588294983
7,7,2022-07-08T00:21:14.000Z,1545201306633211911,"RT @_ZachGriff: It doesn’t get more exclusive (commercially, of course) than @AmericanAir’s posh Airbus A321T first class to L.A.

Spacious…",Negative,0.4811665713787079
8,8,2022-07-08T00:20:06.000Z,1545201020342607880,"@AmericanAir So it turns out that the flight was cancelled, but the fine people at @CapeAir are driving us in their van. https://t.co/TJLorgYNsC",Neutral,0.5979569554328918
9,9,2022-07-08T00:18:28.000Z,1545200608428187648,"More Insult @AmericanAir after cxld non stop PHL to SFO 6/14/22 just before boarding. No pilots. 2 days to get home. Can't get issued credit. Service agent put me on hold into customer service survey. Do better CEO, Mr. Isom",Negative,0.8691440224647522
10,10,2022-07-08T00:17:49.000Z,1545200446779932673,@wijodo @AmericanAir File a claim with the federal DOT if they don’t respond adequately.,Negative,0.715498149394989
11,11,2022-07-08T00:17:32.000Z,1545200373291487234,#clearthelist for this Special Education Teacher 🍎 **Drop your list in the comments** help 🙏🏼🙏🏼 @AmericanAir https://t.co/a2PTp2cxxi,Neutral,0.5881869196891785
12,12,2022-07-08T00:16:21.000Z,1545200075906875393,"RT @NoboastbutJesus: This is too good not to share.

ANNOUNCED TODAY DUBUQUE IOWA WILL GET A BIDEN GRANT FOR IT'S ALMOST NEW AIRPORT @Dubuq…",Positive,0.6118661761283875
13,13,2022-07-08T00:15:47.000Z,1545199935724863488,@AmericanAir My 3hr flight ended up being like 11 hrs and I miss my daughter baptism.They were  not even honest about the reason they cancel the flight. I encourage everyone not to fly on American Airlines. Worst experience ever.,Negative,0.956732988357544
