,created_at,id,text,classification,score
0,2022-07-08T01:03:50.000Z,1545212028247220225,RT @mcdowell_norm: @OmarAlghabra @AirCanada Best thing you can do is RESIGN!,Neutral,0.4647398293018341
1,2022-07-08T01:03:47.000Z,1545212013227479040,@OmarAlghabra @AirCanada End the masks. End the mandates. End the ArriveCAN app. Problem solved,Negative,0.6257174015045166
2,2022-07-08T01:03:42.000Z,1545211993564610561,@OmarAlghabra @AirCanada Remember you recently said out -of-practice travellers  are causing delays at security checkpoints ?  I do,Negative,0.7561778426170349
3,2022-07-08T01:03:33.000Z,1545211956495130625,"@OmarAlghabra @AirCanada You have to return to the operations that were in place in 2019 and prior. Eliminate all mandates, apps, and restrictions. Offer an olive branch to all those employees you fired. More rules and regulations just cause delays. Everyone knows that and so should you.",Negative,0.8212971091270447
4,2022-07-08T01:03:22.000Z,1545211910630817792,"RT @SamS96095050: @AirCanada Hello Air Canada, i made a complaint on June 22 but no one have even replied. Could you please at least reply?…",Neutral,0.5285728573799133
5,2022-07-08T01:02:52.000Z,1545211783363043332,"HOW CAN ANYONE GET A HOLD OF @AirCanada IF THEY DONT LET PEOPLE BE PUT ON HOLD? AC, your site says I have to call to change my flight but I can't get a hold of anyone! This is such a horrible set up. Please respond to my DM from June 15th!",Negative,0.9543615579605103
6,2022-07-08T01:02:43.000Z,1545211747312738304,No progress or updates on my lost baggage still after 12 days and one visit to the airport. #AirCanada @AirCanada,Neutral,0.5165213346481323
7,2022-07-08T01:02:16.000Z,1545211630820130819,"RT @Fernand55591815: Ayuda por favor. Mi hijo vuelve a EEUU via Canadá donde tiene 7 hs de escala, le dicen que necesita una visa, no puede…",Negative,0.6527155637741089
8,2022-07-08T01:00:26.000Z,1545211172651147265,"@ownbossmusic @AirCanada Poha man, foda isso",Negative,0.9404411315917969
9,2022-07-08T01:00:11.000Z,1545211107865935873,"RT @NiaVardalos: Hello @AirCanada and @aegeanairlines where are my family’s bags? Four days without five passengers’ bags. No clothes, no l…",Negative,0.716509997844696
10,2022-07-08T00:58:49.000Z,1545210762301521920,@OmarAlghabra @AirCanada The way @aircanada is treating their customers isn’t just bad service. It’s abusive and negligent.,Negative,0.940915584564209
11,2022-07-08T00:57:52.000Z,1545210525503705089,@OmarAlghabra @AirCanada This isn’t just about delays and lost baggage. It’s about stranding people for days between connecting flights. Making customers who are disabled or seniors run obscene distances to catch connections and then locking the doors in their faces because they weren’t fast enough.,Negative,0.8738976120948792
12,2022-07-08T00:57:39.000Z,1545210471355191301,@Fernand55591815 @AirCanada @AirCanadaLatAm el tiene residencia en USA ó algún tipo de visa temporera?,Neutral,0.8961971402168274
13,2022-07-08T00:57:34.000Z,1545210449976705024,@OmarAlghabra @AirCanada Canada-hating thug,Negative,0.904082179069519
14,2022-07-08T00:57:31.000Z,1545210437200793600,@OmarAlghabra @AirCanada Canceling flights is not fixing the problem 🤣,Negative,0.7146456837654114
15,2022-07-08T00:56:35.000Z,1545210202487631872,RT @AmbArunSahu: Still waiting for update on missing PRIORITY baggage @AirCanada AC 042 of 3 July 2022. Complain report DELAC 24311. Any he…,Neutral,0.7923504114151001
16,2022-07-08T00:56:21.000Z,1545210144614760449,@MaJiKatz @AirCanada Hope you get to C’ town soon,Neutral,0.5710132122039795
17,2022-07-08T00:55:57.000Z,1545210044521783296,RT @Victoria59L: @OmarAlghabra @AirCanada GET RID OF THE APP. Cancel off site CV testing that will compound &amp; add more delays. YOU OWN THIS…,Negative,0.9190154671669006
