,created_at,id,text,classification,score
0,2022-07-08T00:58:13.000Z,1545210615156834304,RT @_angelitonegro_: @eddiemajor @moosechildd @Delta Don’t let Kanye see this. https://t.co/UwKdxC1iLz,Negative,0.5936290621757507
1,2022-07-08T00:58:09.000Z,1545210595204481025,RT @moosechildd: what the fuck @Delta https://t.co/Z9FKFhRTvt,Negative,0.5679199695587158
2,2022-07-08T00:57:57.000Z,1545210544336027648,RT @frannysanchez_: @JoDrizzly @moosechildd @Delta I’m pretty sure I saw some Prada pants too smh,Negative,0.815754234790802
3,2022-07-08T00:57:55.000Z,1545210537377763329,RT @JoDrizzly: @moosechildd @Delta Really sucks that all your Louis Vuitton clothing inside there was ruined during your flight.,Negative,0.9502274394035339
4,2022-07-08T00:57:36.000Z,1545210459401457670,@moosechildd @Delta How the fuck even,Negative,0.7847169637680054
5,2022-07-08T00:57:26.000Z,1545210417638776832,RT @moosechildd: what the fuck @Delta https://t.co/Z9FKFhRTvt,Negative,0.5679199695587158
6,2022-07-08T00:57:24.000Z,1545210409484898304,@moosechildd @Delta That is an ex-suitcase. https://t.co/7Sy3QwiU32,Neutral,0.8153319358825684
7,2022-07-08T00:57:23.000Z,1545210401973063680,RT @moosechildd: what the fuck @Delta https://t.co/Z9FKFhRTvt,Negative,0.5679199695587158
8,2022-07-08T00:56:55.000Z,1545210284574445569,RT @moosechildd: what the fuck @Delta https://t.co/Z9FKFhRTvt,Negative,0.5679199695587158
9,2022-07-08T00:56:36.000Z,1545210207151718401,@Delta the lack of communication and assistance that you guys are giving your passengers has to stop. And I will not stop sharing my piss poor mediocre experience with the world until I receive a resolution,Negative,0.9539445638656616
10,2022-07-08T00:56:25.000Z,1545210159667957761,RT @moosechildd: what the fuck @Delta https://t.co/Z9FKFhRTvt,Negative,0.5679199695587158
11,2022-07-08T00:56:03.000Z,1545210068764921857,RT @moosechildd: what the fuck @Delta https://t.co/Z9FKFhRTvt,Negative,0.5679199695587158
12,2022-07-08T00:56:01.000Z,1545210058950287360,RT @moosechildd: what the fuck @Delta https://t.co/Z9FKFhRTvt,Negative,0.5679199695587158
13,2022-07-08T00:55:26.000Z,1545209910920482817,@HarrietHopfMD @AmericanExpress @Delta @Boeing I asked for a replacement card.,Neutral,0.7876380085945129
14,2022-07-08T00:55:12.000Z,1545209856046481409,@moosechildd @Delta Gremlins,Neutral,0.6486664414405823
15,2022-07-08T00:54:34.000Z,1545209693013950465,"@moosechildd @Delta This thing must be radioactive ☢  

😳😳",Negative,0.6806701421737671
16,2022-07-08T00:54:17.000Z,1545209624407801856,RT @moosechildd: what the fuck @Delta https://t.co/Z9FKFhRTvt,Negative,0.5679199695587158
17,2022-07-08T00:54:17.000Z,1545209622155640832,RT @moosechildd: what the fuck @Delta https://t.co/Z9FKFhRTvt,Negative,0.5679199695587158
18,2022-07-08T00:53:44.000Z,1545209485110681605,RT @moosechildd: what the fuck @Delta https://t.co/Z9FKFhRTvt,Negative,0.5679199695587158
19,2022-07-08T00:53:07.000Z,1545209331490095105,RT @moosechildd: what the fuck @Delta https://t.co/Z9FKFhRTvt,Negative,0.5679199695587158
20,2022-07-08T00:52:56.000Z,1545209284203528195,RT @moosechildd: just to clarify because a lot of people are confused. i heard the 10-14 days from a rep at the airport but @delta still ha…,Negative,0.6373153328895569
21,2022-07-08T00:52:23.000Z,1545209146680786946,@BWJones @AmericanExpress @Delta @Boeing Dam 🔥,Neutral,0.6135457754135132
22,2022-07-08T00:51:45.000Z,1545208984633614337,RT @moosechildd: what the fuck @Delta https://t.co/Z9FKFhRTvt,Negative,0.5679199695587158
