,created_at,id,text,classification,score
0,2022-07-07T22:53:35.000Z,1545179248763277317,"After taking 9 trips/flights in the last 3 months, wild (in a great way) to finally be on a flight with 90% of folks wearing masks. @porterairlines ❤️",Positive,0.8507621884346008
1,2022-07-07T21:53:45.000Z,1545164189521661954,@fortymaliks @punkasauruslex @AirCanada I’m extremely glad I’m flying @porterairlines tomorrow to NYC. I’d never get there otherwise.,Positive,0.8639335632324219
2,2022-07-07T20:41:53.000Z,1545146103741517826,"RT @WalkinRobinL: @patgagnon_75 @porterairlines No problem. BB &amp; Porter was a wonderful, stress free experience. Maybe Porter planned their…",Positive,0.8408219218254089
3,2022-07-07T20:39:29.000Z,1545145499627540481,"@patgagnon_75 @porterairlines No problem. BB &amp; Porter was a wonderful, stress free experience. Maybe Porter planned their resumption by not over scheduling and over booking. I will avoid @TorontoPearson @AirCanada @WestJet at ALL costs. Where are the billions the Feds gave them for support?",Positive,0.4891626834869385
4,2022-07-07T20:32:57.000Z,1545143857976938502,@WalkinRobinL @porterairlines Thank you for sharing the information 😊,Positive,0.8044596314430237
5,2022-07-07T20:29:05.000Z,1545142884910907393,"@patgagnon_75 I just flew @porterairlines from Billy Bishop to Fredericton return. Flight going, a few minutes late. Return flight left a few minutes early. Would do it again in a heartbeat. They clearly have their 💩together. The delays/cancellations listed were all Air Canada or WestJet.",Negative,0.8066943287849426
6,2022-07-07T20:16:12.000Z,1545139640637825025,"As much as booking a flight on any website is frustrating and irritating, thank god @porterairlines exists and provides you with booze to help you get through the whole traveling process and gives an option that’s not Pearson Airport cause that place sucks.",Negative,0.8013848662376404
7,2022-07-07T19:22:48.000Z,1545126201097863175,"@porterairlines Rudest gate agent at Newark Gate 52. No complaints, just an observation from someone watching her wrath!",Negative,0.8223047852516174
8,2022-07-07T19:19:31.000Z,1545125375403065345,"RT @BBishopAirport: Hey Toronto! 👋 Fly non-stop from #YTZ to #Fredericton daily on @porterairlines this summer! ✈️

Get a taste of Atlantic…",Positive,0.6350573301315308
9,2022-07-07T17:45:28.000Z,1545101706974969856,"Checking in at Billy Bishop for @porterairlines flight, 3 people ahead to check in, 10 minutes through security and departing on time https://t.co/KqrY22SVRz",Neutral,0.8307696580886841
10,2022-07-07T16:31:06.000Z,1545082992867033089,"@porterairlines No, your website doesn’t work.",Negative,0.6339660882949829
11,2022-07-07T06:32:58.000Z,1544932467571920896,RT @TransportAction: @MarcoolivaHern3 @TorontoPearson @OmarAlghabra @AirCanada @WestJet @FlairAirlines @Lynx_Air @flyyxu @FlixBus_USA_CA @p…,Neutral,0.8163374066352844
12,2022-07-07T02:18:07.000Z,1544868333056471040,RT @TransportAction: @MarcoolivaHern3 @TorontoPearson @OmarAlghabra @AirCanada @WestJet @FlairAirlines @Lynx_Air @flyyxu @FlixBus_USA_CA @p…,Neutral,0.8163374066352844
13,2022-07-07T01:34:46.000Z,1544857423902654465,"RT @stefany81179545: @eDreams @eDreams contacted me via DM to ""solve"" my problem and what they told me is what they have told me these last…",Neutral,0.834360659122467
14,2022-07-07T00:52:22.000Z,1544846754310414336,@MarcoolivaHern3 @TorontoPearson @OmarAlghabra @AirCanada @WestJet @FlairAirlines @Lynx_Air @flyyxu @FlixBus_USA_CA @porterairlines Just take the bus or train all the way. Far better for both the environment and your stress levels.,Neutral,0.4186851382255554
15,2022-07-07T00:35:17.000Z,1544842455459192833,@porterairlines trying to check in via the website and this is all we get. What is going on? https://t.co/lNtAFhB5eV,Negative,0.6959838271141052
16,2022-07-06T23:34:55.000Z,1544827263795007495,Raise your hand if you have ever been personally victimized by @porterairlines https://t.co/rW1Ik9ZRsw,Negative,0.7578751444816589
